Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,07:00,61187,7,0
아시아나항공,07:00,151187,7,0
제주항공,07:10,57119,7,10
제주항공,07:15,138814,7,15
에어부산,08:00,61187,8,0
아시아나항공,08:00,151187,8,0
에어부산,09:00,61187,9,0
아시아나항공,09:00,151187,9,0
에어부산,10:00,61187,10,0
아시아나항공,10:00,151187,10,0
에어부산,11:00,61187,11,0
아시아나항공,11:00,151187,11,0
이스타항공,12:30,229662,12,30
에어부산,13:00,54577,13,0
아시아나항공,13:00,151187,13,0
제주항공,13:15,94916,13,15
에어부산,14:00,54577,14,0
아시아나항공,14:00,151187,14,0
에어부산,15:00,54577,15,0
아시아나항공,15:00,151187,15,0
에어부산,16:00,54577,16,0
에어부산,17:00,54577,17,0
아시아나항공,17:00,151187,17,0
에어부산,18:00,54577,18,0
아시아나항공,18:00,151187,18,0
에어부산,19:00,54577,19,0
아시아나항공,19:00,151187,19,0
에어부산,20:00,54577,20,0
아시아나항공,20:00,151187,20,0
에어부산,21:00,55594,21,0
아시아나항공,21:00,151187,21,0
